patch_id,scene_class,region_id,location,anchor_lat,anchor_lon,patch_lat,patch_lon,abs_latitude_band,utm_epsg,east_offset_m,north_offset_m,true_fwhm_m,lambda,max_iter,healpix_level,device,rmse_psf_degradation,method,operator_fwhm_m,rmse_vs_latent,recovery_fraction,n_cells_compared,n_cells_estimated,npt,operator_rows,operator_cols,operator_nnz,operator_density,operator_build_s,solve_s,projection_s,runtime_s,method_total_s,patch_execution_status,run_sequence,benchmark_included
urban__singapore__r0c0,urban,singapore,Singapore,1.2903,103.8519,1.2541021198934994,103.81596794666493,00-15,32648,-4000.0,-4000.0,12.5,0.001,14,20,cuda:0,0.0392233469005361,blurred_observation,12.5,0.0392233469005361,0.0,170813,170813,,,,,,0.0,0.0,0.0,0.0,0.0,computed,1,False
urban__singapore__r0c0,urban,singapore,Singapore,1.2903,103.8519,1.2541021198934994,103.81596794666493,00-15,32648,-4000.0,-4000.0,12.5,0.001,14,20,cuda:0,0.0392233469005361,psf_aware_matched,12.5,0.0311969780172423,0.2046324324042858,170813,172254,22.0,65536.0,172254.0,1441792.0,0.0001277183693847,0.2868084372021258,0.0402760379947721,1.7118615838699045,0.327084475196898,2.0389460590668023,computed,1,False
urban__singapore__r0c0,urban,singapore,Singapore,1.2903,103.8519,1.2541021198934994,103.81596794666493,00-15,32648,-4000.0,-4000.0,12.5,0.001,14,20,cuda:0,0.0392233469005361,psf_aware_plus50,18.75,0.0598073630456916,-0.5247898961134811,170813,174025,48.0,65536.0,174025.0,3145728.0,0.0002758224393046,0.4441167912445962,0.0808065673336386,1.7332804542966187,0.5249233585782349,2.2582038128748536,computed,1,False
urban__singapore__r0c0,urban,singapore,Singapore,1.2903,103.8519,1.2541021198934994,103.81596794666493,00-15,32648,-4000.0,-4000.0,12.5,0.001,14,20,cuda:0,0.0392233469005361,psf_aware_minus50,6.25,0.0456627807048382,-0.1641734913808183,170411,170411,9.0,65536.0,170411.0,589824.0,5.2813492086778434e-05,0.1951990639790892,0.0223549222573637,1.66184016270563,0.217553986236453,1.8793941489420831,computed,1,False
urban__singapore__r0c0,urban,singapore,Singapore,1.2903,103.8519,1.2541021198934994,103.81596794666493,00-15,32648,-4000.0,-4000.0,12.5,0.001,14,20,cuda:0,0.0392233469005361,nearest,,0.0477394194677644,-0.2171174374492726,169912,170813,,,,,,0.0,0.1232967777177691,0.0,0.1232967777177691,0.1232967777177691,computed,1,False
urban__singapore__r0c0,urban,singapore,Singapore,1.2903,103.8519,1.2541021198934994,103.81596794666493,00-15,32648,-4000.0,-4000.0,12.5,0.001,14,20,cuda:0,0.0392233469005361,bilinear,,0.0495322558090351,-0.2628258352006687,169912,170813,,,,,,0.0,0.1083656027913093,0.0,0.1083656027913093,0.1083656027913093,computed,1,False
urban__singapore__r0c0,urban,singapore,Singapore,1.2903,103.8519,1.2541021198934994,103.81596794666493,00-15,32648,-4000.0,-4000.0,12.5,0.001,14,20,cuda:0,0.0392233469005361,bicubic,,0.0447276596959624,-0.1403325628836391,169912,170813,,,,,,0.0,0.7634481149725616,0.0,0.7634481149725616,0.7634481149725616,computed,1,False
urban__singapore__r0c1,urban,singapore,Singapore,1.2903,103.8519,1.2541182383741496,103.85191599538406,00-15,32648,0.0,-4000.0,12.5,0.001,14,20,cuda:0,0.0307464842429902,blurred_observation,12.5,0.0307464842429902,0.0,170971,170971,,,,,,0.0,0.0,0.0,0.0,0.0,computed,2,True
urban__singapore__r0c1,urban,singapore,Singapore,1.2903,103.8519,1.2541182383741496,103.85191599538406,00-15,32648,0.0,-4000.0,12.5,0.001,14,20,cuda:0,0.0307464842429902,psf_aware_matched,12.5,0.0266640153978853,0.1327783955017761,170971,172207,22.0,65536.0,172207.0,1441792.0,0.0001277532272207,0.2778674159198999,0.0403065052814781,1.701587680261582,0.3181739212013781,2.01976160146296,computed,2,True
urban__singapore__r0c1,urban,singapore,Singapore,1.2903,103.8519,1.2541182383741496,103.85191599538406,00-15,32648,0.0,-4000.0,12.5,0.001,14,20,cuda:0,0.0307464842429902,psf_aware_plus50,18.75,0.0430378614277262,-0.3997652898327146,170971,174474,48.0,65536.0,174474.0,3145728.0,0.0002751126242305,0.4392283339984715,0.0805589091032743,1.708974116947502,0.5197872431017458,2.228761360049248,computed,2,True
